level,key_traits,candidate_name_1,candidate_name_2,candidate_name_3,final_name,description,tradeoffs,label
cluster,water_area_sqmi: higher vs avg (309.3 vs 135.7) | water_area_m2: higher vs avg (8.01e+08 vs 3.514e+08) | NativeHawaiianPacificIslander_B02001: lower vs avg (632.9 vs 659) | TwoOrMoreRaces_B02001: higher vs avg (3.867e+04 vs 3.8e+04) | IndustryFinanceRealEstate_C24050: lower vs avg (1.071e+04 vs 1.115e+04),Affluent Retirement Growth Metros,High-Cost Lifestyle Hubs,Upscale Sun-Seeker Enclaves,Affluent Retirement Growth Metros,"Older-leaning metros with above-average home values and rents, often with a lifestyle/leisure tilt and solid recent growth.",High cost of living; less starter-city friendly.,0
cluster,annual_snowfall: higher vs avg (19.93 vs 9.316) | water_area_sqmi: lower vs avg (98.3 vs 135.7) | water_area_m2: lower vs avg (2.546e+08 vs 3.514e+08) | industry_manufacturing_share: higher vs avg (17.22 vs 12.75) | temp_seasonality: higher vs avg (49.23 vs 41.41),Snowbelt Factory Towns,Cold-Weather Manufacturing Metros,Seasonal Rust-Belt Hubs,Snowbelt Manufacturing Hubs,"Cold, highly seasonal metros with heavier manufacturing presence—classic snowbelt profiles.",Tough winters; amenities can be more limited than warmer/coastal metros.,1
cluster,AsianAlone_B02001: higher vs avg (9.435e+04 vs 2.059e+04) | SomeOtherRace_B02001: higher vs avg (8.914e+04 vs 2.397e+04) | Construction_C24010: higher vs avg (1.971e+04 vs 4565) | NativeHawaiianPacificIslander_B02001: higher vs avg (2590 vs 659) | IndustryInformation_C24050: higher vs avg (1.283e+04 vs 3138),Pricey Walkable City Centers,Urban Amenity Hotspots,High-Rent Walkable Hubs,Pricey Walkable City Centers,"Dense, high-amenity, walkable metros with elevated rents and home values (often in snowier regions).",Higher costs; less space per dollar.,2
cluster,stroke_share: higher vs avg (4.639 vs 3.862) | poverty_rate: higher vs avg (19.46 vs 14.67) | diabetes_share: higher vs avg (15.61 vs 12.94) | AmericanIndianAlaskaNative_B02001: lower vs avg (1491 vs 2641) | physical_inactivity_share: higher vs avg (32.46 vs 27.47),Struggling Health-Burdened Metros,Hardship & Health Challenge Cities,Underserved Recovery Regions,Hardship & Health Challenge Metros,Metros that stand out for higher poverty and multiple adverse health indicators—places where affordability may exist but outcomes lag.,"Lower cost potential, but weaker public-health profile and often fewer high-opportunity signals.",3
cluster,SomeOtherRace_B02001: higher vs avg (3.048e+04 vs 2.397e+04) | TwoOrMoreRaces_B02001: higher vs avg (4.413e+04 vs 3.8e+04) | AsianAlone_B02001: lower vs avg (9770 vs 2.059e+04) | BlackAlone_B02001: higher vs avg (4.322e+04 vs 4.264e+04) | violent_crime_count: higher vs avg (946.3 vs 885.9),Young Frontier Growth Metros,Boomtown Starter Cities,Younger Work-First Metros,Young Frontier Metros,Younger-leaning metros with a more work-first economic footprint (including resource-linked areas) and somewhat higher safety volatility.,"Energy and youth skew, but less stability/amenity polish and potentially higher crime risk.",4
sub_cluster,annual_snowfall: higher vs avg (29.26 vs 9.316) | AsianAlone_B02001: lower vs avg (2.025e+04 vs 2.059e+04) | ProductionTransportation_C24010: higher vs avg (7011 vs 3106) | Construction_C24010: higher vs avg (7697 vs 4565) | ServiceOccupations_C24010: higher vs avg (8430 vs 4576),Snowy High-Earner Cities,Cold-Weather Power Metros,Snowbelt Prosperity Hubs,Snowbelt Prosperity Hubs,"Dense, very snowy metros with strong incomes and a work-heavy mix.",Winter intensity; higher day-to-day friction (weather/commute).,0
sub_cluster,annual_snowfall: lower vs avg (1.599 vs 9.316) | population_growth: lower vs avg (-0.02446 vs 0.01364) | current_smoking_share: higher vs avg (17.35 vs 15.34) | AmericanIndianAlaskaNative_B02001: lower vs avg (1067 vs 2641) | job_growth: lower vs avg (-0.01773 vs 0.02067),Stagnating Industrial Towns,Slow-Growth Factory Markets,Post-Boom Manufacturing Metros,Stagnating Industrial Towns,Lower-growth metros with an industrial footprint and weaker momentum.,"Often more affordable, but fewer fast-growth opportunities.",1
sub_cluster,AmericanIndianAlaskaNative_B02001: higher vs avg (3094 vs 2641) | stroke_share: higher vs avg (5.326 vs 3.862) | diabetes_share: higher vs avg (17.52 vs 12.94) | poverty_rate: higher vs avg (22.74 vs 14.67) | physical_inactivity_share: higher vs avg (35.92 vs 27.47),High-Need Health Burden Metros,Tough-Break Cities,Recovery & Resilience Regions,Recovery & Resilience Regions,Metros that stand out for compounding health and economic challenges.,Potential affordability; harder quality-of-life baseline.,2
sub_cluster,AsianAlone_B02001: higher vs avg (1.649e+05 vs 2.059e+04) | Construction_C24010: higher vs avg (3.855e+04 vs 4565) | IndustryInformation_C24050: higher vs avg (2.407e+04 vs 3138) | SomeOtherRace_B02001: higher vs avg (1.478e+05 vs 2.397e+04) | ServiceOccupations_C24010: higher vs avg (3.601e+04 vs 4576),Premium Snowbelt City Centers,High-Rent Winter Metros,Dense & Expensive Snow Cities,Premium Snowbelt City Centers,Ultra-urban snowbelt metros with premium housing costs and strong urban intensity.,High cost and winter; pays back in access/amenities.,3
sub_cluster,SomeOtherRace_B02001: higher vs avg (1.36e+05 vs 2.397e+04) | AsianAlone_B02001: higher vs avg (7.085e+04 vs 2.059e+04) | NativeHawaiianPacificIslander_B02001: higher vs avg (2787 vs 659) | TwoOrMoreRaces_B02001: higher vs avg (1.851e+05 vs 3.8e+04) | AmericanIndianAlaskaNative_B02001: higher vs avg (1.356e+04 vs 2641),Young Urban Rent Hotspots,Starter-Career City Hubs,Youthful Walkable Metros,Starter-Career City Hubs,"Young-skewing metros that feel career-starter friendly—walkable, active, but pricier.",High rent; can feel competitive.,4
