cbsa_code,cbsa_name,city,state,cbsa_type,contains_imputed,MedianHouseholdIncome_B19013,TotalPopulation_B01003,MedianAge_B01002,TotalPovertyUniverse_B17001,BelowPoverty_B17001,IndustryTotalEmployed_C24050,IndustryAgForestryMining_C24050,IndustryConstruction_C24050,IndustryManufacturing_C24050,IndustryWholesaleTrade_C24050,IndustryRetailTrade_C24050,IndustryTransportUtilities_C24050,IndustryInformation_C24050,IndustryFinanceRealEstate_C24050,IndustryProfSciMgmtAdminWaste_C24050,IndustryEducationHealthCare_C24050,IndustryArtsRecAccommodationFood_C24050,IndustryOtherServices_C24050,IndustryPublicAdmin_C24050,TotalEmployed_C24010,ManagementBusiness_C24010,ScienceEngineering_C24010,ServiceOccupations_C24010,SalesOffice_C24010,Construction_C24010,ProductionTransportation_C24010,TotalPopulation25Plus_B15003,BachelorsDegree_B15003,MastersDegree_B15003,ProfessionalDegree_B15003,DoctorateDegree_B15003,TotalRace_B02001,WhiteAlone_B02001,BlackAlone_B02001,AmericanIndianAlaskaNative_B02001,AsianAlone_B02001,NativeHawaiianPacificIslander_B02001,SomeOtherRace_B02001,TwoOrMoreRaces_B02001,MedianGrossRent_B25064,MedianHomeValue_B25077,LaborForce_B23025,Unemployed_B23025,population_growth,job_growth,median_rent_growth,median_home_value_growth,industry_ag_forestry_mining_share,industry_construction_share,industry_manufacturing_share,industry_wholesale_share,industry_retail_share,industry_transport_utilities_share,industry_information_share,industry_finance_real_estate_share,industry_prof_sci_mgmt_admin_share,industry_education_health_share,industry_arts_rec_accommodation_food_share,industry_other_services_share,industry_public_admin_share,white_collar_share,blue_collar_share,service_job_share,sales_share,bachelors_or_higher_share,age_22_34_total,age_65_plus_total,age_22_34_share,age_65_plus_share,unemployment_rate,poverty_rate,diversity_index,land_area_m2,water_area_m2,land_area_sqmi,water_area_sqmi,centroid_lat,centroid_lon,population_density_per_sq_mile,nat_walk_index_mean,population_density_mean,activity_density_mean,intersection_density_mean,nat_walk_index_pop_weighted,n_tracts,total_population_weight,obesity_share,physical_inactivity_share,depression_share,current_asthma_share,diabetes_share,stroke_share,coronary_heart_disease_share,arthritis_share,any_disability_share,current_smoking_share,binge_drinking_share,violent_crime_count,property_crime_count,total_crime_count,violent_crime_per_population,property_crime_per_population,station_id,station_name,station_distance_km,avg_annual_temp,jan_avg_temp,jul_avg_temp,annual_precipitation,annual_snowfall,n_months_available,has_complete_year,temp_seasonality,snow_binary,cluster,sub_cluster,cluster_text,sub_cluster_text,cluster_key_traits,cluster_candidate_name_1,cluster_candidate_name_2,cluster_candidate_name_3,coarse_cluster_final_name,cluster_description,cluster_tradeoffs,sub_cluster_key_traits,sub_cluster_candidate_name_1,sub_cluster_candidate_name_2,sub_cluster_candidate_name_3,cluster_final_name,sub_cluster_description,sub_cluster_tradeoffs
10100,"Aberdeen, SD Micro Area",Aberdeen,SD,Micro,0,70761,42112,38.2,40877,4246,22300,1636,1287,2515,686,2657,1178,253,1242,1078,5270,2105,1188,1205,22300,3765,2142,280,451,143,159,28106,6809,1627,373,409,42112,36446,204,1762,1167,29,473,2031,796,208200,23046,746,-0.0175438596491228,-0.0187018701870187,0.1862891207153502,0.2370766488413547,7.336322869955157,5.771300448430494,11.278026905829597,3.0762331838565022,11.914798206278029,5.282511210762332,1.1345291479820627,5.569506726457399,4.834080717488789,23.632286995515692,9.439461883408072,5.327354260089686,5.403587443946188,26.48878923766816,1.3542600896860986,1.2556053811659191,2.022421524663677,32.79726748736925,3940,8516,9.356003039513675,20.22226443768997,3.2370042523648355,10.387259338992587,0.2459946398365396,7353004125,111384253,2839.011,43.006,45.519435,-98.7007,14.833334566157015,7.504761904771429,3.5277517332285715,3.513266502714285,66.67461857491428,7.427158329428165,10.0,32315.0,34.901711279591524,24.237019959771004,20.38034349373356,9.771295064211666,11.137416060652948,3.33592758780752,6.596871421940274,27.86167723967198,30.50529166021971,14.208277889524988,17.126501624632525,75.0,395.0,470.0,0.0017809650455927052,0.00937974924012158,USC00390022,"ABERDEEN 3 E, SD US",23.44507897,43.14493151,12.6,72.1,21.9,0.0,12,True,59.5,0,1,20,Less diverse / Cooler,Less diverse / Higher unemployment,annual_snowfall: higher vs avg (19.93 vs 9.316) | water_area_sqmi: lower vs avg (98.3 vs 135.7) | water_area_m2: lower vs avg (2.546e+08 vs 3.514e+08) | industry_manufacturing_share: higher vs avg (17.22 vs 12.75) | temp_seasonality: higher vs avg (49.23 vs 41.41),Snowbelt Factory Towns,Cold-Weather Manufacturing Metros,Seasonal Rust-Belt Hubs,Snowbelt Manufacturing Hubs,"Cold, highly seasonal metros with heavier manufacturing presence—classic snowbelt profiles.",Tough winters; amenities can be more limited than warmer/coastal metros.,annual_snowfall: higher vs avg (10.73 vs 9.316) | temp_seasonality: higher vs avg (48.76 vs 41.41) | jan_avg_temp: lower vs avg (24.54 vs 34.76) | industry_ag_forestry_mining_share: higher vs avg (3.877 vs 3.419) | cluster: lower vs avg (1 vs 2.039),Cold-Season Worktowns,Seasonal Recreation & Work Metros,Snow-Season Blue-Collar Mix,Cold-Season Worktowns,Seasonal metros with colder winters and a work-oriented mix.,Winter + lifestyle-health risk signals.
10140,"Aberdeen, WA Micro Area",Aberdeen,WA,Micro,0,63539,76397,44.7,73378,10358,29889,1738,1619,2925,791,3074,1738,126,1154,1852,6664,3402,1563,3243,29889,3661,1704,479,745,261,297,56001,6461,2683,526,198,76397,61800,1241,3168,956,311,2814,6107,1018,279500,32004,2115,0.0356247204110127,0.0453623391158366,0.2294685990338164,0.4511941848390446,5.81484827193951,5.416708488072535,9.786208973200845,2.6464585633510658,10.284720131151929,5.81484827193951,0.4215597711532671,3.860952189768811,6.196259493459133,22.29582789655057,11.38211382113821,5.2293485897821945,10.850145538492422,17.949747398708553,1.8669075579644687,1.602596272876309,2.4925557897554285,17.621113908680204,5490,20197,7.186146052855478,26.436901972590547,6.608548931383577,14.115947559213934,0.3357251883522952,4924766329,834338614,1901.463,322.14,47.113732,-123.826735,40.17801030048968,10.134408602145164,2.3598461056290323,2.051642479387097,55.29527652603226,9.796710066196464,20.0,60530.0,37.02505699653065,23.62424252436808,27.13295886337353,11.732003964976046,13.41242359160747,4.144563026598381,7.906168841896582,31.228663472658187,35.458485048736165,15.352284817445891,15.57936560383281,89.0,706.0,795.0,0.001164967210754349,0.009241200570703038,USC00450008,"ABERDEEN, WA US",16.45037116,51.15342466,42.3,60.9,85.49,0.0,12,True,18.6,0,0,18,Expensive housing / High-rent,Fast job growth / Car-dependent,water_area_sqmi: higher vs avg (309.3 vs 135.7) | water_area_m2: higher vs avg (8.01e+08 vs 3.514e+08) | NativeHawaiianPacificIslander_B02001: lower vs avg (632.9 vs 659) | TwoOrMoreRaces_B02001: higher vs avg (3.867e+04 vs 3.8e+04) | IndustryFinanceRealEstate_C24050: lower vs avg (1.071e+04 vs 1.115e+04),Affluent Retirement Growth Metros,High-Cost Lifestyle Hubs,Upscale Sun-Seeker Enclaves,Affluent Retirement Growth Metros,"Older-leaning metros with above-average home values and rents, often with a lifestyle/leisure tilt and solid recent growth.",High cost of living; less starter-city friendly.,job_growth: higher vs avg (0.05782 vs 0.02067) | population_growth: higher vs avg (0.04108 vs 0.01364) | stroke_share: higher vs avg (4.288 vs 3.862) | age_65_plus_share: higher vs avg (23.14 vs 20.81) | median_home_value_growth: higher vs avg (0.3751 vs 0.3121),Growing Older-Skew Metros,Booming but Aging Cities,Expansion-Phase Heartland,Booming but Aging Cities,Growing metros that still skew older and show some health-burden signals.,Growth upside; health profile not as strong.
10180,"Abilene, TX Metro Area",Abilene,TX,Metro,0,66464,178244,34.4,166018,21841,79704,2095,5731,4983,1461,10362,4793,873,5751,6220,22531,6312,4098,4494,79704,11354,5072,1201,1833,875,684,113167,19424,7892,1433,948,178244,126766,13912,671,3427,256,9955,23257,1095,172800,81939,2235,0.0402091576502445,0.0514623431790298,0.2059471365638766,0.3835068054443555,2.628475358827662,7.190354310950517,6.251881963264077,1.833032219211081,13.000602228244505,6.013499949814313,1.0953026196928637,7.215447154471545,7.803874335039647,28.26834286861387,7.919301415236375,5.141523637458597,5.638361939174947,20.60875238382013,1.9559871524641173,1.5068252534377196,2.2997591087021982,26.24174891973808,22529,29747,12.63941563250376,16.688920805188392,2.727638853293304,13.155802382874146,0.46758196497395,7105668291,36756436,2743.514,14.192,32.452022,-99.718743,64.96923288891546,7.322916666673611,3.670127768326389,2.990711769048611,71.43558634777779,7.029974883703734,49.0,135448.0,35.39465920500857,27.25909057350422,23.362870621936093,10.152726507589628,12.225253972004015,3.4306796704270277,6.325993739294784,24.32664491170043,32.55822603508357,14.047483166971826,17.682744669541076,1.0,12.0,13.0,5.61028702228406e-06,6.732344426740872e-05,USW00013962,"ABILENE RGNL AP, TX US",5.742564188,66.36410959,46.1,84.9,26.05,3.6,12,True,38.8,1,4,21,Warmer / More diverse,High-rent / More educated,SomeOtherRace_B02001: higher vs avg (3.048e+04 vs 2.397e+04) | TwoOrMoreRaces_B02001: higher vs avg (4.413e+04 vs 3.8e+04) | AsianAlone_B02001: lower vs avg (9770 vs 2.059e+04) | BlackAlone_B02001: higher vs avg (4.322e+04 vs 4.264e+04) | violent_crime_count: higher vs avg (946.3 vs 885.9),Young Frontier Growth Metros,Boomtown Starter Cities,Younger Work-First Metros,Young Frontier Metros,Younger-leaning metros with a more work-first economic footprint (including resource-linked areas) and somewhat higher safety volatility.,"Energy and youth skew, but less stability/amenity polish and potentially higher crime risk.",BlackAlone_B02001: higher vs avg (6.494e+04 vs 4.264e+04) | violent_crime_count: higher vs avg (1385 vs 885.9) | AmericanIndianAlaskaNative_B02001: higher vs avg (4659 vs 2641) | water_area_sqmi: higher vs avg (202.1 vs 135.7) | water_area_m2: higher vs avg (5.236e+08 vs 3.514e+08),Young Government & Nightlife Hubs,Active Risk-Tradeoff Cities,Walkable Young Metros,Active Risk-Tradeoff Cities,"Younger metros with more activity and walkability, but elevated violent-crime risk.",Lifestyle/access vs safety.
10220,"Ada, OK Micro Area",Ada,OK,Micro,0,62564,38158,37.5,36961,4641,17552,564,1300,1453,408,1720,590,181,753,1616,5141,993,807,2026,17552,2952,1274,267,640,422,81,25225,4605,2233,261,401,38158,24835,957,6969,395,51,269,4682,880,170500,18192,640,-0.0059137683991142,0.0341739335375913,0.2054794520547945,0.2657757980697847,3.21330902461258,7.406563354603464,8.278258887876024,2.324521422060164,9.799453053783044,3.361440291704649,1.0312215132178668,4.290109389243392,9.206927985414769,29.29010938924339,5.657474931631723,4.597766636280766,11.542844120328168,24.077028258887875,2.865770282588879,1.5211941659070192,3.646308113035551,29.73240832507433,3336,7266,8.742596572147388,19.041878505162742,3.518029903254178,12.556478450258378,0.527200164405069,1865705449,12725534,720.353,4.913,34.721421,-96.691804,52.97125159470426,7.00520833346875,1.78914910775,1.6820608204375,53.6494886351875,6.620739698147609,11.0,28970.0,39.90553676216776,29.86491888160166,25.61334483948913,12.101739730755954,12.410334829133587,3.843983431135658,7.454901622367966,28.35735243355196,37.775495340006906,16.767846047635484,14.41280289955126,3.0,17.0,20.0,7.86204727711096e-05,0.00044551601236962103,USC00343145,"FITTSTOWN 6SW MESONET, OK US",18.99934781,61.49561644,40.6,81.3,42.84,0.0,12,True,40.7,0,4,1,Warmer / More diverse,Low-rent / Less diverse,SomeOtherRace_B02001: higher vs avg (3.048e+04 vs 2.397e+04) | TwoOrMoreRaces_B02001: higher vs avg (4.413e+04 vs 3.8e+04) | AsianAlone_B02001: lower vs avg (9770 vs 2.059e+04) | BlackAlone_B02001: higher vs avg (4.322e+04 vs 4.264e+04) | violent_crime_count: higher vs avg (946.3 vs 885.9),Young Frontier Growth Metros,Boomtown Starter Cities,Younger Work-First Metros,Young Frontier Metros,Younger-leaning metros with a more work-first economic footprint (including resource-linked areas) and somewhat higher safety volatility.,"Energy and youth skew, but less stability/amenity polish and potentially higher crime risk.",annual_snowfall: lower vs avg (1.599 vs 9.316) | population_growth: lower vs avg (-0.02446 vs 0.01364) | current_smoking_share: higher vs avg (17.35 vs 15.34) | AmericanIndianAlaskaNative_B02001: lower vs avg (1067 vs 2641) | job_growth: lower vs avg (-0.01773 vs 0.02067),Stagnating Industrial Towns,Slow-Growth Factory Markets,Post-Boom Manufacturing Metros,Stagnating Industrial Towns,Lower-growth metros with an industrial footprint and weaker momentum.,"Often more affordable, but fewer fast-growth opportunities."
10300,"Adrian, MI Micro Area",Adrian,MI,Micro,0,67013,98823,42.2,93980,10915,43982,1299,2858,8919,784,5115,1887,562,1447,3182,10658,3609,1883,1779,43982,6224,3192,634,1486,400,904,69514,9915,4552,557,459,98823,87997,2229,258,334,41,1288,6676,965,181100,46493,2511,0.0052181873664937,-0.0165906448439316,0.2123115577889447,0.2664335664335664,2.9534809694875177,6.498112864353598,20.278750397890047,1.7825474057569006,11.629757628120595,4.2903915238051935,1.277795461779819,3.289982265472239,7.234777863671502,24.23264062571052,8.205629575735527,4.281296894183984,4.044836524032559,21.40875812832522,2.9648492565140283,1.4414987949615752,3.378654904279024,22.27321115171045,8535,22577,8.636653410643271,22.84589619825344,5.40081302561676,11.614173228346456,0.2018369976603106,1941553343,30470381,749.638,11.765,41.896022,-84.074356,131.8276288021685,6.020325203231707,2.44137963645122,1.6512856990731706,36.10546272597561,6.026868344217976,25.0,78518.0,40.79492982500828,26.490343615476704,27.941693624391856,11.535893680429965,12.39593596372806,3.7730978883822814,7.48559820678061,29.764912504139176,33.4244924730635,15.8403117756438,16.260147991543338,139.0,551.0,690.0,0.0014065551541645163,0.005575625107515457,USW00004847,"ADRIAN LENAWEE CO AP, MI US",3.165808281,49.72630137,25.0,73.0,31.97,0.0,12,True,48.0,0,1,20,Less diverse / Cooler,Less diverse / Higher unemployment,annual_snowfall: higher vs avg (19.93 vs 9.316) | water_area_sqmi: lower vs avg (98.3 vs 135.7) | water_area_m2: lower vs avg (2.546e+08 vs 3.514e+08) | industry_manufacturing_share: higher vs avg (17.22 vs 12.75) | temp_seasonality: higher vs avg (49.23 vs 41.41),Snowbelt Factory Towns,Cold-Weather Manufacturing Metros,Seasonal Rust-Belt Hubs,Snowbelt Manufacturing Hubs,"Cold, highly seasonal metros with heavier manufacturing presence—classic snowbelt profiles.",Tough winters; amenities can be more limited than warmer/coastal metros.,annual_snowfall: higher vs avg (10.73 vs 9.316) | temp_seasonality: higher vs avg (48.76 vs 41.41) | jan_avg_temp: lower vs avg (24.54 vs 34.76) | industry_ag_forestry_mining_share: higher vs avg (3.877 vs 3.419) | cluster: lower vs avg (1 vs 2.039),Cold-Season Worktowns,Seasonal Recreation & Work Metros,Snow-Season Blue-Collar Mix,Cold-Season Worktowns,Seasonal metros with colder winters and a work-oriented mix.,Winter + lifestyle-health risk signals.
10380,"Aguadilla, PR Metro Area",Aguadilla,PR,Metro,1,20800,252430,45.2,250659,118798,77598,1286,5436,8369,1471,10504,2576,928,2543,8623,16440,7814,4790,6818,77598,9230,3973,1247,1896,940,800,189038,34371,9052,1250,1401,252430,142576,8269,358,85,28,33162,67952,506,120000,88015,10417,-0.144803707668749,-0.0388555149563386,0.1905882352941176,0.2461059190031152,1.6572592077115391,7.005335189051263,10.78507178020052,1.8956674141086112,13.536431351323488,3.3196731874532848,1.1959071110080155,3.277146318204077,11.112399804118663,21.186113044150623,10.069847161009305,6.172839506172839,8.78630892548777,17.014613778705638,2.242325833140029,1.607000180417021,2.443361942318101,24.37287741089093,23044,61593,9.128867408786594,24.400031691954204,11.835482588195196,47.394268707686535,0.5901875389406153,769374622,354393992,297.057,136.832,18.391555,-67.097202,849.7695728429223,3.6773211567671233,3.3661732581552517,1.783434878780822,53.74796647341096,3.5438452742937008,65.0,191768.0,35.68709893539997,25.77306802628323,23.52619967661487,10.72733736605484,12.122068225034422,3.561350352564325,6.606865056655603,26.95374150954528,32.021525749837416,13.936774984978976,15.98546224178801,502.0,2531.0,3235.0,0.0019886701263716676,0.010026542011646792,RQC00662801,"COLOSO, PR RQ",6.41177693,78.70657534,75.6,80.7,79.66,0.0,12,True,5.1,0,3,13,Lower poverty / Lower-income,Warmer / Lower poverty,stroke_share: higher vs avg (4.639 vs 3.862) | poverty_rate: higher vs avg (19.46 vs 14.67) | diabetes_share: higher vs avg (15.61 vs 12.94) | AmericanIndianAlaskaNative_B02001: lower vs avg (1491 vs 2641) | physical_inactivity_share: higher vs avg (32.46 vs 27.47),Struggling Health-Burdened Metros,Hardship & Health Challenge Cities,Underserved Recovery Regions,Hardship & Health Challenge Metros,Metros that stand out for higher poverty and multiple adverse health indicators—places where affordability may exist but outcomes lag.,"Lower cost potential, but weaker public-health profile and often fewer high-opportunity signals.",BlackAlone_B02001: lower vs avg (3.402e+04 vs 4.264e+04) | water_area_sqmi: lower vs avg (116.3 vs 135.7) | water_area_m2: lower vs avg (3.012e+08 vs 3.514e+08) | poverty_rate: higher vs avg (22.19 vs 14.67) | job_growth: higher vs avg (0.08637 vs 0.02067),Warm Comfort Metros,Sunbelt Sweet-Spot Cities,Warm & Doing-Well Hubs,Sunbelt Sweet-Spot Cities,Warmer metros with better poverty outcomes.,Some may be car-dependent; housing can be trending up.
10420,"Akron, OH Metro Area",Akron,OH,Metro,0,71312,699508,40.8,683200,84493,352709,2049,21640,51963,9989,40835,17759,4727,22654,36558,84786,32078,16608,11063,352709,67399,32197,9614,17422,8526,6852,490098,105592,46987,9160,7152,699508,544850,82928,796,24635,97,6067,40135,1005,199000,372204,19495,-0.0053719255039912,0.0009194488982221,0.1726954492415402,0.2955729166666667,0.5809321565369752,6.135369383826327,14.73254155692086,2.8320797030980214,11.577532753629765,5.035028876495922,1.34019829377759,6.422858503752385,10.36491838881344,24.038513335355773,9.09474949604348,4.708697538197211,3.136580013552248,28.23744219739218,4.359968132369744,2.7257597622969643,4.939482689696038,34.460658888630434,67216,147631,9.609039496331707,21.104976640724622,5.237719100278342,12.367242388758784,0.3746442401647798,2331510427,62132699,900.201,23.99,41.146639,-81.35011,777.057568254201,7.458408679985533,5.46566308638698,4.198644419670886,77.65360347618807,7.250871833641589,176.0,560546.0,36.720814884059465,26.362834450696287,25.83265905028312,11.349966104476708,13.345496355339256,3.619547548283281,6.943841005020105,30.599745069985342,30.85546395835489,15.18907725681746,15.38315428171818,1877.0,9137.0,11014.0,0.0026833145582323575,0.01306203788948804,USC00336949,"RAVENNA 2 S, OH US",5.788042981,49.60794521,25.8,72.9,45.74,49.5,12,True,47.1,1,1,0,Less diverse / Cooler,Snowier / Denser,annual_snowfall: higher vs avg (19.93 vs 9.316) | water_area_sqmi: lower vs avg (98.3 vs 135.7) | water_area_m2: lower vs avg (2.546e+08 vs 3.514e+08) | industry_manufacturing_share: higher vs avg (17.22 vs 12.75) | temp_seasonality: higher vs avg (49.23 vs 41.41),Snowbelt Factory Towns,Cold-Weather Manufacturing Metros,Seasonal Rust-Belt Hubs,Snowbelt Manufacturing Hubs,"Cold, highly seasonal metros with heavier manufacturing presence—classic snowbelt profiles.",Tough winters; amenities can be more limited than warmer/coastal metros.,annual_snowfall: higher vs avg (29.26 vs 9.316) | AsianAlone_B02001: lower vs avg (2.025e+04 vs 2.059e+04) | ProductionTransportation_C24010: higher vs avg (7011 vs 3106) | Construction_C24010: higher vs avg (7697 vs 4565) | ServiceOccupations_C24010: higher vs avg (8430 vs 4576),Snowy High-Earner Cities,Cold-Weather Power Metros,Snowbelt Prosperity Hubs,Snowbelt Prosperity Hubs,"Dense, very snowy metros with strong incomes and a work-heavy mix.",Winter intensity; higher day-to-day friction (weather/commute).
10460,"Alamogordo, NM Micro Area",Alamogordo,NM,Micro,0,52717,68235,36.3,64676,12903,24036,674,2788,322,310,3086,1249,464,1226,1733,6003,2634,964,2583,24036,3471,1842,541,717,300,282,45357,6453,2586,390,366,68235,40957,2490,4429,1006,79,6474,12800,926,149500,26433,2397,0.0214208730016166,0.0266091487635074,0.1418002466091245,0.2375827814569536,2.804127142619404,11.599267765019135,1.3396571808953237,1.289732068563821,12.839074721251457,5.19637210850391,1.9304376768181064,5.10068230986853,7.210018305874522,24.97503744383425,10.958562156764854,4.010650690630721,10.746380429355966,22.10434348477284,2.421367948077884,2.250790480945249,2.9830254618072893,21.59534360738144,8211,12857,12.03341393712904,18.84223638894995,9.068210191805695,19.950213371266003,0.5897644550764973,17126455957,36944199,6612.562,14.264,32.615599,-105.751308,10.318995874821288,6.386524822914894,2.9960456741702126,2.213076890914893,59.68794882812766,5.675592567284629,21.0,52218.0,37.51607108659849,25.579089585966525,24.297284461296872,10.323313799839134,13.44184763874526,4.147227009843349,7.6716400474932,26.098031330192654,35.98386954689954,15.58242368531924,14.263945382818184,108.0,904.0,1012.0,0.0015827654429544954,0.013248332966952443,USC00291931,"CLOUDCROFT, NM US",37.70271432,47.17205479,31.6,61.4,26.75,0.0,12,True,29.8,0,4,13,Warmer / More diverse,Warmer / Lower poverty,SomeOtherRace_B02001: higher vs avg (3.048e+04 vs 2.397e+04) | TwoOrMoreRaces_B02001: higher vs avg (4.413e+04 vs 3.8e+04) | AsianAlone_B02001: lower vs avg (9770 vs 2.059e+04) | BlackAlone_B02001: higher vs avg (4.322e+04 vs 4.264e+04) | violent_crime_count: higher vs avg (946.3 vs 885.9),Young Frontier Growth Metros,Boomtown Starter Cities,Younger Work-First Metros,Young Frontier Metros,Younger-leaning metros with a more work-first economic footprint (including resource-linked areas) and somewhat higher safety volatility.,"Energy and youth skew, but less stability/amenity polish and potentially higher crime risk.",BlackAlone_B02001: lower vs avg (3.402e+04 vs 4.264e+04) | water_area_sqmi: lower vs avg (116.3 vs 135.7) | water_area_m2: lower vs avg (3.012e+08 vs 3.514e+08) | poverty_rate: higher vs avg (22.19 vs 14.67) | job_growth: higher vs avg (0.08637 vs 0.02067),Warm Comfort Metros,Sunbelt Sweet-Spot Cities,Warm & Doing-Well Hubs,Sunbelt Sweet-Spot Cities,Warmer metros with better poverty outcomes.,Some may be car-dependent; housing can be trending up.
10480,"Alamosa, CO Micro Area",Alamosa,CO,Micro,1,48011,27622,36.0,26639,4668,12477,1204,982,382,140,1066,575,59,702,928,3840,1192,617,790,12477,2140,1091,235,369,183,126,17720,3069,1420,193,168,27622,16670,441,1049,151,60,2311,6940,874,191800,12900,423,0.01370801862514,0.0346891577769846,0.2125899720043774,0.34734662931868365,9.64975555021239,7.870481686302797,3.0616334054660577,1.122064598861906,8.54372044561994,4.608479602468543,0.472870080948946,5.626352488578985,7.437685341027491,30.77662899735513,9.553578584595655,4.9450989821271145,6.331650236435041,25.895647992305843,2.476556864630921,1.883465576661056,2.957441692714595,27.37020316027088,2855,5808,10.33596408659764,21.02671783361089,3.2790697674418605,17.523180299560796,0.5639246966352303,8385519227,19734373,3237.667,7.619,37.32264,-105.774242,8.531451813914154,6.8409090907878785,1.9388511180090908,1.9713794491910919,35.31538235928947,6.862466241319794,9.0,20938.0,30.96712197917662,25.56012990734549,21.466634826631008,10.839096379787945,13.36880313305951,3.895883083389053,7.410292291527367,26.876258477409493,35.046021587544175,13.328560511987774,15.075761772853186,49.0,368.0,407.5,0.0017739483020780538,0.013322713778871913,USW00023061,"ALAMOSA SAN LUIS AP, CO US",15.04751862,42.93041096,15.5,66.2,7.64,31.8,12,True,50.7,1,1,20,Less diverse / Cooler,Less diverse / Higher unemployment,annual_snowfall: higher vs avg (19.93 vs 9.316) | water_area_sqmi: lower vs avg (98.3 vs 135.7) | water_area_m2: lower vs avg (2.546e+08 vs 3.514e+08) | industry_manufacturing_share: higher vs avg (17.22 vs 12.75) | temp_seasonality: higher vs avg (49.23 vs 41.41),Snowbelt Factory Towns,Cold-Weather Manufacturing Metros,Seasonal Rust-Belt Hubs,Snowbelt Manufacturing Hubs,"Cold, highly seasonal metros with heavier manufacturing presence—classic snowbelt profiles.",Tough winters; amenities can be more limited than warmer/coastal metros.,annual_snowfall: higher vs avg (10.73 vs 9.316) | temp_seasonality: higher vs avg (48.76 vs 41.41) | jan_avg_temp: lower vs avg (24.54 vs 34.76) | industry_ag_forestry_mining_share: higher vs avg (3.877 vs 3.419) | cluster: lower vs avg (1 vs 2.039),Cold-Season Worktowns,Seasonal Recreation & Work Metros,Snow-Season Blue-Collar Mix,Cold-Season Worktowns,Seasonal metros with colder winters and a work-oriented mix.,Winter + lifestyle-health risk signals.
10500,"Albany, GA Metro Area",Albany,GA,Metro,0,54219,146768,38.2,141369,30445,60581,1356,3571,5661,1176,7415,4131,645,2703,5573,16159,4369,3330,4492,60581,8889,4119,787,2216,914,696,97281,12019,6869,2066,1428,146768,59881,77325,253,1700,40,2067,5502,922,148800,65976,5395,-0.0044970189444553,-0.0151832886287897,0.183568677792041,0.237936772046589,2.2383255476139383,5.894587411894818,9.344513956521022,1.9412026873112036,12.239811161915451,6.8189696439477725,1.0646902494181345,4.46179495221274,9.199253891484128,26.67337944239943,7.211832092570278,5.496772915600601,7.41486604711048,21.47207870454433,2.6575989171522427,1.2990871725458475,3.657912546838118,23.00757599120075,13202,28431,8.995148806279298,19.37138885860678,8.177215957317813,21.53583883312466,0.5542241021333815,4120596067,46238444,1590.971,17.853,31.644686,-84.110718,92.25058156308316,7.057632398542056,1.8644568277009343,1.629837830093458,61.4214998282243,6.844370919707543,47.0,114590.0,41.05901038485034,32.371357011955666,19.837143729819356,11.472696570381364,17.349952002792563,5.0598970241731385,7.556619251243564,29.21376559909242,36.42374901823894,17.860322017628064,12.442857142857145,730.0,1870.0,2600.0,0.004973836258584978,0.012741196991169738,USC00090140,"ALBANY 3 SE, GA US",12.83875756,66.34630137,48.7,81.7,53.0,0.0,12,True,33.0,0,3,13,Lower poverty / Lower-income,Warmer / Lower poverty,stroke_share: higher vs avg (4.639 vs 3.862) | poverty_rate: higher vs avg (19.46 vs 14.67) | diabetes_share: higher vs avg (15.61 vs 12.94) | AmericanIndianAlaskaNative_B02001: lower vs avg (1491 vs 2641) | physical_inactivity_share: higher vs avg (32.46 vs 27.47),Struggling Health-Burdened Metros,Hardship & Health Challenge Cities,Underserved Recovery Regions,Hardship & Health Challenge Metros,Metros that stand out for higher poverty and multiple adverse health indicators—places where affordability may exist but outcomes lag.,"Lower cost potential, but weaker public-health profile and often fewer high-opportunity signals.",BlackAlone_B02001: lower vs avg (3.402e+04 vs 4.264e+04) | water_area_sqmi: lower vs avg (116.3 vs 135.7) | water_area_m2: lower vs avg (3.012e+08 vs 3.514e+08) | poverty_rate: higher vs avg (22.19 vs 14.67) | job_growth: higher vs avg (0.08637 vs 0.02067),Warm Comfort Metros,Sunbelt Sweet-Spot Cities,Warm & Doing-Well Hubs,Sunbelt Sweet-Spot Cities,Warmer metros with better poverty outcomes.,Some may be car-dependent; housing can be trending up.
