cbsa_code,cbsa_name,MedianHouseholdIncome_B19013,TotalPopulation_B01003,MedianAge_B01002,TotalPovertyUniverse_B17001,BelowPoverty_B17001,IndustryTotalEmployed_C24050,IndustryAgForestryMining_C24050,IndustryConstruction_C24050,IndustryManufacturing_C24050,IndustryWholesaleTrade_C24050,IndustryRetailTrade_C24050,IndustryTransportUtilities_C24050,IndustryInformation_C24050,IndustryFinanceRealEstate_C24050,IndustryProfSciMgmtAdminWaste_C24050,IndustryEducationHealthCare_C24050,IndustryArtsRecAccommodationFood_C24050,IndustryOtherServices_C24050,IndustryPublicAdmin_C24050,TotalEmployed_C24010,ManagementBusiness_C24010,ScienceEngineering_C24010,ServiceOccupations_C24010,SalesOffice_C24010,Construction_C24010,ProductionTransportation_C24010,TotalPopulation25Plus_B15003,BachelorsDegree_B15003,MastersDegree_B15003,ProfessionalDegree_B15003,DoctorateDegree_B15003,TotalRace_B02001,WhiteAlone_B02001,BlackAlone_B02001,AmericanIndianAlaskaNative_B02001,AsianAlone_B02001,NativeHawaiianPacificIslander_B02001,SomeOtherRace_B02001,TwoOrMoreRaces_B02001,MedianGrossRent_B25064,MedianHomeValue_B25077,LaborForce_B23025,Unemployed_B23025,city,cbsa_type,state,TotalPopulation_B01003_prior,IndustryTotalEmployed_C24050_prior,MedianGrossRent_B25064_prior,MedianHomeValue_B25077_prior,population_growth,job_growth,median_rent_growth,median_home_value_growth,industry_ag_forestry_mining_share,industry_construction_share,industry_manufacturing_share,industry_wholesale_share,industry_retail_share,industry_transport_utilities_share,industry_information_share,industry_finance_real_estate_share,industry_prof_sci_mgmt_admin_share,industry_education_health_share,industry_arts_rec_accommodation_food_share,industry_other_services_share,industry_public_admin_share,white_collar_share,blue_collar_share,service_job_share,sales_share,bachelors_or_higher_share,age_22_34_total,age_65_plus_total,age_22_34_share,age_65_plus_share,unemployment_rate,poverty_rate,diversity_index,land_area_m2,water_area_m2,land_area_sqmi,water_area_sqmi,centroid_lat,centroid_lon,population_density_per_sq_mile
10100,"Aberdeen, SD Micro Area",70761,42112,38.2,40877,4246,22300,1636,1287,2515,686,2657,1178,253,1242,1078,5270,2105,1188,1205,22300,3765,2142,280,451,143,159,28106,6809,1627,373,409,42112,36446,204,1762,1167,29,473,2031,796,208200,23046,746,Aberdeen,Micro,SD,42864.0,22725.0,671.0,168300.0,-0.017543859649122806,-0.0187018701870187,0.18628912071535023,0.23707664884135474,7.336322869955157,5.771300448430494,11.278026905829597,3.0762331838565022,11.914798206278027,5.282511210762332,1.1345291479820627,5.569506726457399,4.834080717488789,23.632286995515695,9.439461883408072,5.327354260089686,5.403587443946188,26.488789237668158,1.3542600896860986,1.2556053811659191,2.022421524663677,32.79726748736925,3940,8516,9.356003039513677,20.22226443768997,3.2370042523648355,10.387259338992587,0.24599463983653969,7353004125,111384253,2839.011,43.006,45.519435,-98.7007,14.833334566157017
10140,"Aberdeen, WA Micro Area",63539,76397,44.7,73378,10358,29889,1738,1619,2925,791,3074,1738,126,1154,1852,6664,3402,1563,3243,29889,3661,1704,479,745,261,297,56001,6461,2683,526,198,76397,61800,1241,3168,956,311,2814,6107,1018,279500,32004,2115,Aberdeen,Micro,WA,73769.0,28592.0,828.0,192600.0,0.03562472041101276,0.0453623391158366,0.22946859903381642,0.45119418483904467,5.81484827193951,5.416708488072535,9.786208973200843,2.6464585633510658,10.284720131151929,5.81484827193951,0.4215597711532671,3.860952189768811,6.196259493459133,22.29582789655057,11.38211382113821,5.2293485897821945,10.850145538492422,17.949747398708553,1.8669075579644687,1.602596272876309,2.4925557897554285,17.621113908680204,5490,20197,7.186146052855478,26.436901972590547,6.608548931383577,14.115947559213934,0.33572518835229526,4924766329,834338614,1901.463,322.14,47.113732,-123.826735,40.178010300489674
10180,"Abilene, TX Metro Area",66464,178244,34.4,166018,21841,79704,2095,5731,4983,1461,10362,4793,873,5751,6220,22531,6312,4098,4494,79704,11354,5072,1201,1833,875,684,113167,19424,7892,1433,948,178244,126766,13912,671,3427,256,9955,23257,1095,172800,81939,2235,Abilene,Metro,TX,171354.0,75803.0,908.0,124900.0,0.04020915765024452,0.051462343179029854,0.20594713656387664,0.3835068054443555,2.628475358827662,7.190354310950517,6.251881963264077,1.833032219211081,13.000602228244503,6.013499949814313,1.0953026196928637,7.215447154471545,7.803874335039647,28.26834286861387,7.919301415236375,5.141523637458597,5.638361939174947,20.608752383820132,1.9559871524641175,1.5068252534377196,2.2997591087021982,26.241748919738082,22529,29747,12.63941563250376,16.688920805188392,2.727638853293304,13.155802382874146,0.46758196497395,7105668291,36756436,2743.514,14.192,32.452022,-99.718743,64.96923288891546
10220,"Ada, OK Micro Area",62564,38158,37.5,36961,4641,17552,564,1300,1453,408,1720,590,181,753,1616,5141,993,807,2026,17552,2952,1274,267,640,422,81,25225,4605,2233,261,401,38158,24835,957,6969,395,51,269,4682,880,170500,18192,640,Ada,Micro,OK,38385.0,16972.0,730.0,134700.0,-0.005913768399114237,0.03417393353759133,0.2054794520547945,0.2657757980697847,3.2133090246125797,7.406563354603464,8.278258887876024,2.324521422060164,9.799453053783044,3.361440291704649,1.0312215132178668,4.2901093892433915,9.206927985414767,29.29010938924339,5.657474931631723,4.597766636280766,11.542844120328168,24.077028258887875,2.865770282588879,1.5211941659070192,3.646308113035551,29.73240832507433,3336,7266,8.742596572147388,19.041878505162742,3.518029903254178,12.556478450258378,0.527200164405069,1865705449,12725534,720.353,4.913,34.721421,-96.691804,52.97125159470426
10300,"Adrian, MI Micro Area",67013,98823,42.2,93980,10915,43982,1299,2858,8919,784,5115,1887,562,1447,3182,10658,3609,1883,1779,43982,6224,3192,634,1486,400,904,69514,9915,4552,557,459,98823,87997,2229,258,334,41,1288,6676,965,181100,46493,2511,Adrian,Micro,MI,98310.0,44724.0,796.0,143000.0,0.005218187366493744,-0.01659064484393167,0.21231155778894473,0.2664335664335664,2.9534809694875177,6.498112864353598,20.278750397890047,1.7825474057569006,11.629757628120595,4.2903915238051935,1.277795461779819,3.289982265472239,7.234777863671502,24.23264062571052,8.205629575735527,4.281296894183984,4.044836524032559,21.40875812832522,2.9648492565140283,1.4414987949615752,3.3786549042790237,22.27321115171045,8535,22577,8.636653410643271,22.845896198253442,5.40081302561676,11.614173228346457,0.2018369976603106,1941553343,30470381,749.638,11.765,41.896022,-84.074356,131.8276288021685
10380,"Aguadilla, PR Metro Area",20800,252430,45.2,250659,118798,77598,1286,5436,8369,1471,10504,2576,928,2543,8623,16440,7814,4790,6818,77598,9230,3973,1247,1896,940,800,189038,34371,9052,1250,1401,252430,142576,8269,358,85,28,33162,67952,506,120000,88015,10417,Aguadilla,Metro,PR,295172.0,80735.0,425.0,96300.0,-0.14480370766874906,-0.03885551495633864,0.19058823529411764,0.24610591900311526,1.6572592077115391,7.005335189051263,10.785071780200521,1.8956674141086112,13.536431351323488,3.3196731874532848,1.1959071110080157,3.2771463182040774,11.112399804118663,21.186113044150623,10.069847161009305,6.172839506172839,8.78630892548777,17.014613778705638,2.2423258331400295,1.607000180417021,2.443361942318101,24.37287741089093,23044,61593,9.128867408786594,24.400031691954204,11.835482588195195,47.394268707686535,0.5901875389406153,769374622,354393992,297.057,136.832,18.391555,-67.097202,849.7695728429223
10420,"Akron, OH Metro Area",71312,699508,40.8,683200,84493,352709,2049,21640,51963,9989,40835,17759,4727,22654,36558,84786,32078,16608,11063,352709,67399,32197,9614,17422,8526,6852,490098,105592,46987,9160,7152,699508,544850,82928,796,24635,97,6067,40135,1005,199000,372204,19495,Akron,Metro,OH,703286.0,352385.0,857.0,153600.0,-0.005371925503991264,0.000919448898222115,0.17269544924154026,0.2955729166666667,0.5809321565369752,6.135369383826327,14.73254155692086,2.8320797030980214,11.577532753629763,5.035028876495922,1.34019829377759,6.422858503752385,10.364918388813441,24.038513335355773,9.09474949604348,4.708697538197211,3.136580013552248,28.23744219739218,4.359968132369744,2.7257597622969643,4.939482689696038,34.460658888630434,67216,147631,9.609039496331707,21.104976640724622,5.237719100278342,12.367242388758783,0.3746442401647798,2331510427,62132699,900.201,23.99,41.146639,-81.35011,777.057568254201
10460,"Alamogordo, NM Micro Area",52717,68235,36.3,64676,12903,24036,674,2788,322,310,3086,1249,464,1226,1733,6003,2634,964,2583,24036,3471,1842,541,717,300,282,45357,6453,2586,390,366,68235,40957,2490,4429,1006,79,6474,12800,926,149500,26433,2397,Alamogordo,Micro,NM,66804.0,23413.0,811.0,120800.0,0.02142087300161667,0.026609148763507454,0.14180024660912455,0.23758278145695363,2.804127142619404,11.599267765019137,1.3396571808953237,1.289732068563821,12.839074721251457,5.19637210850391,1.9304376768181062,5.10068230986853,7.210018305874522,24.97503744383425,10.958562156764854,4.010650690630721,10.746380429355966,22.10434348477284,2.4213679480778834,2.250790480945249,2.9830254618072893,21.59534360738144,8211,12857,12.033413937129039,18.84223638894995,9.068210191805697,19.950213371266003,0.5897644550764973,17126455957,36944199,6612.562,14.264,32.615599,-105.751308,10.318995874821287
10480,"Alamosa, CO Micro Area",48011,27622,36.0,26639,4668,12477,1204,982,382,140,1066,575,59,702,928,3840,1192,617,790,12477,2140,1091,235,369,183,126,17720,3069,1420,193,168,27622,16670,441,1049,151,60,2311,6940,874,191800,12900,423,Alamosa,Micro,CO,,,,,,,,,9.64975555021239,7.870481686302797,3.0616334054660577,1.122064598861906,8.54372044561994,4.608479602468543,0.47287008094894606,5.626352488578985,7.437685341027491,30.776628997355132,9.553578584595657,4.9450989821271145,6.331650236435041,25.895647992305843,2.476556864630921,1.8834655766610562,2.957441692714595,27.37020316027088,2855,5808,10.33596408659764,21.02671783361089,3.2790697674418605,17.523180299560796,0.5639246966352303,8385519227,19734373,3237.667,7.619,37.32264,-105.774242,8.531451813914154
10500,"Albany, GA Metro Area",54219,146768,38.2,141369,30445,60581,1356,3571,5661,1176,7415,4131,645,2703,5573,16159,4369,3330,4492,60581,8889,4119,787,2216,914,696,97281,12019,6869,2066,1428,146768,59881,77325,253,1700,40,2067,5502,922,148800,65976,5395,Albany,Metro,GA,147431.0,61515.0,779.0,120200.0,-0.004497018944455373,-0.015183288628789727,0.18356867779204109,0.23793677204658903,2.2383255476139383,5.894587411894818,9.344513956521022,1.9412026873112034,12.239811161915453,6.8189696439477725,1.0646902494181343,4.46179495221274,9.199253891484128,26.67337944239943,7.211832092570278,5.496772915600601,7.41486604711048,21.47207870454433,2.6575989171522427,1.2990871725458477,3.657912546838118,23.00757599120075,13202,28431,8.995148806279298,19.37138885860678,8.177215957317813,21.53583883312466,0.5542241021333815,4120596067,46238444,1590.971,17.853,31.644686,-84.110718,92.25058156308317
