cbsa_code,violent_crime_count,property_crime_count,total_crime_count
10100,75.0,395.0,470.0
10140,89.0,706.0,795.0
10180,1.0,12.0,13.0
10220,3.0,17.0,20.0
10300,139.0,551.0,690.0
10420,1877.0,9137.0,11014.0
10460,108.0,904.0,1012.0
10500,730.0,1870.0,2600.0
10540,183.0,1697.0,1880.0
10580,1637.0,7358.0,8995.0
10660,94.0,691.0,785.0
10700,87.0,681.0,768.0
10740,7239.0,28472.0,35711.0
10760,143.0,783.0,926.0
10780,1253.0,3002.0,4255.0
10820,47.0,249.0,296.0
10860,157.0,876.0,1033.0
10900,715.0,4532.0,5247.0
10940,0.0,15.0,15.0
11020,11.0,105.0,116.0
11060,55.0,276.0,331.0
11100,1411.0,5504.0,6915.0
11140,257.0,611.0,868.0
11180,100.0,1007.0,1107.0
11260,2968.0,8247.0,11215.0
11380,51.0,160.0,211.0
11420,16.0,221.0,237.0
11460,533.0,2794.0,3327.0
11500,284.0,1261.0,1545.0
11540,190.0,1275.0,1465.0
11620,324.0,993.0,1317.0
11660,11.0,24.0,35.0
11700,838.0,4452.0,5290.0
11780,41.0,203.0,244.0
11820,76.0,742.0,818.0
11860,20.0,199.0,219.0
11900,24.0,242.0,266.0
11940,136.0,759.0,895.0
11980,9.0,48.0,57.0
12020,40.0,242.0,282.0
12060,3168.0,21283.0,24451.0
12100,1178.0,6056.0,7234.0
12120,44.0,243.0,287.0
12140,23.0,90.0,113.0
12220,491.0,2234.0,2725.0
12260,234.0,1611.0,1845.0
12300,34.0,663.0,697.0
12420,5625.0,41549.0,47174.0
12460,70.0,453.0,523.0
12540,2541.0,11244.0,13785.0
12580,9700.0,25828.0,35528.0
12620,74.0,1769.0,1843.0
12660,13.0,193.0,206.0
12680,23.0,194.0,217.0
12700,484.0,1305.0,1789.0
12740,84.0,404.0,488.0
12780,152.0,884.0,1036.0
12860,58.0,278.0,336.0
12900,73.0,261.0,334.0
12940,450.0,2340.0,2790.0
12980,57.0,249.0,306.0
13020,181.0,614.0,795.0
13060,101.0,495.0,596.0
13100,10.0,101.0,111.0
13140,1918.0,5438.0,7356.0
13180,95.0,421.0,516.0
13220,122.0,1563.0,1685.0
13260,7.0,35.0,42.0
13300,50.0,362.0,412.0
13340,15.0,111.0,126.0
13380,400.0,4302.0,4702.0
13420,130.0,731.0,861.0
13460,179.0,1447.0,1626.0
13500,64.0,229.0,293.0
13540,68.0,440.0,508.0
13620,19.0,248.0,267.0
13660,6.0,12.0,18.0
13700,162.0,592.0,754.0
13720,11.0,463.0,474.0
13740,49.0,308.0,357.0
13780,247.0,1583.0,1830.0
13820,3405.0,13786.0,17191.0
13900,284.0,2467.0,2751.0
13940,51.0,134.0,185.0
13980,181.0,1373.0,1554.0
14010,177.0,861.0,1038.0
14020,226.0,2141.0,2367.0
14100,11.0,160.0,171.0
14140,79.0,377.0,456.0
14180,169.0,551.0,720.0
14260,1769.0,5282.0,7051.0
14300,18.0,82.0,100.0
14380,0.0,2.0,2.0
14420,48.0,232.0,280.0
14460,13311.0,51958.0,65269.0
14500,569.0,5708.0,6277.0
14540,213.0,2531.0,2744.0
14580,50.0,182.0,232.0
14620,63.0,205.0,268.0
14660,89.0,660.0,749.0
14700,73.0,837.0,910.0
14720,28.0,362.0,390.0
14740,318.0,2428.0,2746.0
14820,41.0,476.0,517.0
14860,1285.0,11589.0,12874.0
15020,4.0,19.0,23.0
15060,9.0,88.0,97.0
15100,21.0,290.0,311.0
15140,249.0,439.0,688.0
15180,1345.0,7654.0,8999.0
15220,102.0,533.0,635.0
15340,38.0,212.0,250.0
