cbsa_code,cbsa_name,cbsa_type,centroid_lat,centroid_lon,station_id,station_name,station_distance_km,avg_annual_temp,jan_avg_temp,jul_avg_temp,annual_precipitation,annual_snowfall,n_months_available,has_complete_year,temp_seasonality,snow_binary
10180,"Abilene, TX Metro Area",1,32.452022,-99.718743,USW00013962,"ABILENE RGNL AP, TX US",5.742564188,66.36410959,46.1,84.9,26.05,3.6,12,TRUE,38.8,1
10300,"Adrian, MI Micro Area",2,41.896022,-84.074356,USW00004847,"ADRIAN LENAWEE CO AP, MI US",3.165808281,49.72630137,25,73,31.97,,12,TRUE,48,0
10380,"Aguadilla, PR Metro Area",1,18.391555,-67.097202,RQC00662801,"COLOSO, PR RQ",6.41177693,78.70657534,75.6,80.7,79.66,,12,TRUE,5.1,0
10420,"Akron, OH Metro Area",1,41.146639,-81.35011,USC00336949,"RAVENNA 2 S, OH US",5.788042981,49.60794521,25.8,72.9,45.74,49.5,12,TRUE,47.1,1
10540,"Albany, OR Metro Area",1,44.488898,-122.537208,USC00353047,"FOSTER DAM, OR US",13.61552468,52.50986301,40.5,66.8,53.62,,12,TRUE,26.3,0
10580,"Albany-Schenectady-Troy, NY Metro Area",1,42.78792,-73.942348,USW00014735,"ALBANY AP, NY US",11.95733179,50.19534247,25.7,74.2,42.26,54,12,TRUE,48.5,1
10620,"Albemarle, NC Micro Area",2,35.310449,-80.254374,USC00310090,"ALBEMARLE, NC US",11.05650408,60.84849315,41,78.8,47.29,,12,TRUE,37.8,0
10700,"Albertville, AL Micro Area",2,34.309564,-86.321668,USC00013573,"GUNTERSVILLE, AL US",2.858449022,62.51890411,41.8,80.4,58.04,,12,TRUE,38.6,0
10740,"Albuquerque, NM Metro Area",1,35.123496,-106.458392,USC00290225,"ALBUQUERQUE FOOTHILLS NE, NM US",3.478296669,56.51890411,35.7,76.2,13.21,,12,TRUE,40.5,0
10760,"Alexander City, AL Micro Area",2,32.863308,-85.799618,USC00010160,"ALEXANDER CITY, AL US",16.59132994,63.24520548,43.9,80.6,57.11,,12,TRUE,36.7,0
