,cbsa_code,cbsa_name,city,state,cluster_k6,centroid_lat,centroid_lon,MedianHomeValue_B25077,MedianGrossRent_B25064,MedianHouseholdIncome_B19013,affordability_score,job_growth_score,safety_score,education_score,health_score,walkability_score,diversity_score,urban_score,weather_warmth_score,weather_mildness_score
0,10100,"Aberdeen, SD Micro Area",Aberdeen,SD,1,45.519435,-98.7007,208200,796,70761,72.56527531974926,47.32269900744581,64.79494516699852,61.48097284086152,69.92650367923339,38.605713728863925,24.290579641868245,27.26305219426581,0.0,27.840904452879474
1,10140,"Aberdeen, WA Micro Area",Aberdeen,WA,3,47.113732,-123.826735,279500,1018,63539,52.270325691420126,46.89683685181745,70.8114583198423,9.387654933739336,39.704275144915115,80.61607430472941,41.62830963901569,19.555042781328805,28.125916544801356,64.62819882986292
2,10180,"Abilene, TX Metro Area",Abilene,TX,5,32.452022,-99.718743,172800,1095,66464,60.77200027546702,71.0251650796523,100.0,38.97864963894039,63.43222237636895,31.56395156316211,67.10566633832333,31.06883840910166,85.46106469965062,81.07689125785498
3,10220,"Ada, OK Micro Area",Ada,OK,5,34.721421,-96.691804,170500,880,62564,66.62286141498629,58.38018642772187,100.0,50.96060733097472,37.40551259725316,24.30852116306821,78.62509045586715,18.581275794295024,67.10976905907233,72.98731378982797
4,10300,"Adrian, MI Micro Area",Adrian,MI,1,41.896022,-84.074356,181100,965,67013,65.5667412843201,37.43883957167808,76.68395126293551,25.35633760154846,41.43508344386479,13.779631108830547,15.758443262163844,20.104826404258745,22.746518730439703,45.067890503534
6,10420,"Akron, OH Metro Area",Akron,OH,0,41.146639,-81.35011,199000,1005,71312,65.53271507542797,41.230295375127234,48.28189532970606,67.19069214625601,49.33677736558418,35.48028745615029,49.14824597319924,83.52711198419861,22.3003870802301,24.039594366311608
7,10460,"Alamogordo, NM Micro Area",Alamogordo,NM,5,32.615599,-105.751308,149500,926,52717,59.5073018590021,34.85117474118698,58.07101596727895,23.02950496226638,48.01961228320988,7.551777198088861,90.71375810659272,19.107796436273354,13.118542951421494,58.73857710250857
8,10480,"Alamosa, CO Micro Area",Alamosa,CO,1,37.32264,-105.774242,191800,874,48011,54.467573609488326,61.699480485526706,56.13426922211045,42.852155872974784,57.87581569962256,28.594149993975634,85.72100187745258,10.317514861443376,0.0,22.72442396313364
9,10500,"Albany, GA Metro Area",Albany,GA,2,31.644686,-84.110718,148800,922,54219,60.818049320923606,23.27218153961108,27.76023523575855,27.877101564895593,29.367456692116367,28.27333362441887,83.84665371992031,24.41370395291572,85.39393840410426,82.59635970636863
10,10540,"Albany, OR Metro Area",Albany,OR,3,44.488898,-122.537208,344600,1273,73396,43.62843534751723,48.90274028000594,60.05767000781359,20.211952512091024,42.420720903756376,70.4206505561796,27.498687533495318,23.509660597844572,33.23887458173896,67.1067440583792
11,10580,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,NY,0,42.78792,-73.942348,268400,1230,86072,61.256872130178465,49.48516842809531,67.20015306059982,89.31332603783845,81.43974806698493,77.15426169787816,49.587761036811976,69.22294620847299,24.514522017798136,23.4036380759588
12,10620,"Albemarle, NC Micro Area",Albemarle,NC,2,35.310449,-80.254374,214300,830,61631,64.0529496250521,48.12970427033366,73.79468283829738,16.518548430496768,42.4067493704703,11.726430687035913,42.43010905279344,15.071212365831153,64.67050285394404,73.6169846875737
13,10660,"Albert Lea, MN Micro Area",Albert Lea,MN,1,43.674202,-93.350289,164900,837,69012,73.49764210338502,49.445881334337344,24.00088929770471,10.99050927409974,49.15930969794656,22.683640530687107,29.2601001005296,19.74414582685688,6.9377605131081665,12.364980441247472
14,10700,"Albertville, AL Micro Area",Albertville,AL,2,34.309564,-86.321668,183400,765,60946,68.84571334396044,63.78536479809433,78.62396002286843,22.10636928507575,36.823272386880824,11.616346840015323,37.94577359487491,15.173149619234021,70.96694908972074,73.923764588059
15,10740,"Albuquerque, NM Metro Area",Albuquerque,NM,4,35.123496,-106.458392,263500,1102,67995,53.605659526745484,45.347914040970785,1.4210854715202004e-14,69.12944307618581,68.47341771411801,99.65744244265652,98.06458308507762,51.253517902030325,48.35055209561802,69.47094567703039
16,10760,"Alexander City, AL Micro Area",Alexander City,AL,2,32.863308,-85.799618,144800,734,57185,70.59991558782123,1.4908165352446077,27.595403792892952,13.17684928719668,26.447974057482735,0.0,67.36189423325779,4.119073307467373,73.7046691099342,77.3761418239472
17,10780,"Alexandria, LA Metro Area",Alexandria,LA,2,31.325348,-92.546803,173600,935,56492,59.768445318797404,41.25377356638302,7.098270869972019,20.722532936107342,20.368238591731693,15.463873910298238,75.13279087284924,14.839070622387192,89.17573044477228,79.78556209411825
18,10820,"Alexandria, MN Micro Area",Alexandria,MN,1,45.936835,-95.462155,291700,896,77264,65.97768531476116,62.298058478387894,76.98834708298537,48.571039200397735,63.06622669896027,25.81830236135834,0.0,7.082488474596733,0.0,27.00216317701318
19,10860,"Alice, TX Micro Area",Alice,TX,2,27.359741,-98.157214,99300,834,45939,62.86390532544378,14.69233426462193,28.039569906068284,0.5622977287857244,35.97302260046139,18.56758158225576,55.84027884162656,19.842205136394686,100.0,77.69631396534113
20,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,PA-NJ,0,40.789339,-75.398158,277800,1309,82602,54.79020075748849,50.56910129986148,82.84332007243705,61.25066883855517,83.70686510158592,100.0,60.919362853433036,95.77787166647283,38.209318370843846,38.96865269387171
21,10940,"Alma, MI Micro Area",Alma,MI,1,43.292326,-84.60469,136800,808,61128,71.39320581668399,54.33243896349407,100.0,14.187432790638805,40.69199813911757,3.731720283212478,21.231607694645053,7.959544220823338,14.702723481083442,39.54744106323488
